user_id,attend,maybe,declined
10103679893316125,,,1477651862560133
1715579862010671,,,494764264037412
754030181397041,,519090021584170,1674987226048875
10204481271345710,,,631265380347638
677673972373070,,904360302946503,905008766246226
1636053516656562,,,372325806279445
1058550820854098,,,1648052285418189 455637751283813
10204968382827013,,,423717384415158
782593618533782,,,420033614863551
887977817976360,,,1695189700704438
10208526286735233,1483723631934208,,545198285638570
795962967196169,,1653992801547099 638266769648820 858874757559077 1651687241722923,942502089120677
731298860303192,,,1557137024539335
974061072656560,,,1617910321803458
412026369007295,,,874334249323234
1673298926215630,,,874334249323234
1500293886932868,,,471379523018564
173388686344581,,,905008766246226
526613440839678,,,361826890689198
1684514778429113,,,1623749834542763
1023758934354486,,,874334249323234
10153713287362902,874835075904840 857622540975972 1640441632884917 2111249605680682 494764264037412 148966468795177 411662922360897,1633057173615681 631265380347638,1632599073621622
613258662149614,,,905008766246226
10101801030673888,,,420322011496986 482838738558603
580212928795541,,,423717384415158
658201627653667,,,905008766246226
10208115770838747,,,114129678945593
10153668208987040,,,925268004218508
680454388724586,,,1641671362774614
997147467008869,,,1640326062879659
567022906778150,,,1640326062879659
531517547001016,,,482838738558603
521371528021722,,,1094343180578474
187778274901356,,,877417562306505 543887232441917
483511371836009,,,1656348561311152
10153299132658693,,,311755245655422
996176037110765,874835075904840 785083881617402 311755245655422 1539218623005421 545198285638570,571688909651350 410271959178819 1077965492215167 796359963823801 157307111289538 494764264037412 1507447266249110 617788491694733 1483723631934208 148966468795177,1632599073621622 905008766246226
1262839897066897,,,825881260800727
438952736302347,,,441791196018550
525999170897610,,,665696516910156
1658824604379406,,,1648052285418189 608762552594198 455637751283813
906746222766437,,,423717384415158
1689997014592090,1483723631934208,,545198285638570
578359885644539,,,542668749205988
1736634856568055,,,471379523018564
1683805061900570,,,1683213978558267
556302521189783,,,1557137024539335
170262589994410,,,406829072835666
1634959953422877,,,1640326062879659
1114754588535512,,,1560166957556972
1004165876312665,,,725340260922835
149491485407464,,,905008766246226
1660713000837871,,,372325806279445
186752578336429,1035314519836199 1656401337951247 631265380347638 1647507122170549,,587786681361995 1507447266249110
1943628512530040,,,372325806279445
10208188440212081,,,311755245655422
1645456545692733,,,905008766246226 406829072835666 545198285638570
1646066375673916,,,549624805200267
911400188940632,,,905008766246226
525589407616263,,,1648346515421234
810977489037336,,,905008766246226
903038476445046,,,1477651862560133
10153643827455469,,,1468796560095962
212256782439441,,,505404526303554
899590830131597,,,978023902255856
937094649698271,406829072835666 1229112313782698,,311755245655422
1706452292974782,,,372325806279445
1026619380692497,,,739791859460625
1706689186228906,,,406829072835666
1730767670489896,,,942502089120677
10100316602892341,,,719368461526737
1012819382089930,,,1723028394595042
10206748310041061,,,978023902255856
496793093827784,,,527385800759438
1523579564632264,,,764835670294999
1671387819804353,,,311755245655422
10204767081368575,,,825881260800727
414848012047529,,,983628185032105
497166713796650,,,1484609308508052
10156252824620517,,,311755245655422
980489728682261,,,1468796560095962
1202657799750338,,,1537877016467620
1698941270322109,406829072835666 1708970406004977 631265380347638 1647507122170549 117378128624899,764835670294999 1712903448943953 904360302946503,608762552594198
191103951231438,,,1024496687595216
579754308841815,822077791243799,,1094343180578474
697399240397682,,,210616589269733
568378683311541,,,825881260800727
1191457560869671,1632599073621622,,1633057173615681
967330950000891,,,361826890689198
10153169043931791,,,311755245655422
1627952444131537,,,1632599073621622
1689220527980165,,,905008766246226
1658489087758624,,,553707154776476
440735379449006,,,372325806279445
1734894396730835,,,905008766246226
774228452681571,,,905008766246226
997437773651477,,,1094343180578474
997548620286704,,,1640326062879659
940012966089773,,,715990218523326
1111493215529285,,,423717384415158
1537434143245821,,,1690758604502588
798362446957301,,,942502089120677
519120861594633,,,905008766246226
1091778820832696,,,1651687241722923
1107458589265281,,,905008766246226
621610007977835,,,1653481344921139
1094820757225021,,,1653481344921139
143143059380727,,,905008766246226
217527811911759,,,1595718864010301
10154181086716494,,,1537877016467620
414765178717205,,,764835670294999
1096713257007185,406829072835666 857622540975972 1651077358490304,,1653481344921139
525222930970460,,,905008766246226
10206141363225489,,,311755245655422
10206499376862290,,,818042981641643
963573327068938,,,311755245655422
559027210917174,,,441791196018550
939908299397318,,,311755245655422
942392525841561,,,1468796560095962
852084211579095,,,1024496687595216
1484018511906932,,,542668749205988
1639418462977474,,,553707154776476
148091478887336,,,727351294066130
10153209960103045,,,1537877016467620
1230358876993780,,,1708970406004977
10154334511948942,,,1591204524467956
10101615411155111,906526716092147,494764264037412,736854409753137
